-64	-56	-61	-66	-71	-82	-81	1	0	0	0
-68	-57	-61	-65	-71	-85	-85	1	0	0	0
-63	-60	-60	-67	-76	-85	-84	1	0	0	0
-61	-60	-68	-62	-77	-90	-80	1	0	0	0
-63	-65	-60	-63	-77	-81	-87	1	0	0	0
-64	-55	-63	-66	-76	-88	-83	1	0	0	0
-65	-61	-65	-67	-69	-87	-84	1	0	0	0
-61	-63	-58	-66	-74	-87	-82	1	0	0	0
-65	-60	-59	-63	-76	-86	-82	1	0	0	0
-62	-60	-66	-68	-80	-86	-91	1	0	0	0
-67	-61	-62	-67	-77	-83	-91	1	0	0	0
-65	-59	-61	-67	-72	-86	-81	1	0	0	0
-63	-57	-61	-65	-73	-84	-84	1	0	0	0
-66	-60	-65	-62	-70	-85	-83	1	0	0	0
-61	-59	-65	-63	-74	-89	-87	1	0	0	0
-67	-60	-59	-61	-71	-86	-91	1	0	0	0
-63	-56	-60	-62	-70	-84	-91	1	0	0	0
-60	-54	-59	-65	-73	-83	-84	1	0	0	0
-60	-58	-60	-61	-73	-84	-88	1	0	0	0
-62	-59	-63	-64	-70	-84	-84	1	0	0	0
-63	-59	-64	-66	-72	-84	-90	1	0	0	0
-65	-59	-66	-65	-68	-82	-85	1	0	0	0
-63	-56	-63	-65	-72	-82	-89	1	0	0	0
-67	-60	-66	-65	-75	-86	-87	1	0	0	0
-63	-57	-67	-66	-79	-86	-89	1	0	0	0
-66	-59	-64	-68	-68	-97	-83	1	0	0	0
-65	-61	-64	-68	-77	-86	-89	1	0	0	0
-66	-57	-65	-69	-78	-85	-85	1	0	0	0
-67	-57	-64	-71	-75	-89	-87	1	0	0	0
-65	-62	-62	-65	-77	-84	-85	1	0	0	0
-61	-54	-60	-61	-74	-87	-83	1	0	0	0
-65	-53	-60	-62	-69	-85	-83	1	0	0	0
-66	-55	-63	-65	-68	-85	-90	1	0	0	0
-63	-57	-59	-67	-71	-82	-93	1	0	0	0
-63	-57	-62	-65	-76	-82	-88	1	0	0	0
-64	-57	-62	-67	-68	-83	-84	1	0	0	0
-68	-63	-68	-64	-74	-86	-84	1	0	0	0
-70	-62	-68	-65	-81	-89	-83	1	0	0	0
-67	-59	-62	-66	-80	-96	-82	1	0	0	0
-66	-59	-64	-67	-77	-87	-85	1	0	0	0
-66	-59	-65	-68	-75	-88	-84	1	0	0	0
-67	-59	-62	-65	-71	-91	-84	1	0	0	0
-69	-61	-62	-62	-75	-85	-84	1	0	0	0
-68	-58	-65	-65	-76	-87	-82	1	0	0	0
-66	-62	-64	-68	-73	-89	-83	1	0	0	0
-68	-58	-65	-67	-83	-89	-86	1	0	0	0
-65	-58	-62	-67	-77	-86	-91	1	0	0	0
